"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/16/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/17/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/18/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/19/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/20/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/21/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/22/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/23/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/24/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","21","88.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/25/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/26/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/27/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/28/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/29/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"06/30/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/01/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/02/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/03/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/04/2010","AQS","340035001","2","3","ppb","4","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/05/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/06/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/07/2010","AQS","340035001","2","2","ppb","3","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/08/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/09/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/10/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/11/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/12/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/13/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/14/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/15/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","23","96.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/16/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/17/2010","AQS","340035001","2","1","ppb","1","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/18/2010","AQS","340035001","2","2","ppb","3","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
"07/19/2010","AQS","340035001","2","0","ppb","0","HACKENSACK","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.882373","-74.042172"
